name,position,points,
"Aaron Rodgers, GB QB",QB,342,0
"Andrew Luck, Ind QB",QB,336,1
"Russell Wilson, Sea QB",QB,312,2
"Peyton Manning, Den QB",QB,307,3
"Ben Roethlisberger, Pit QB",QB,295,4
"Drew Brees, NO QB",QB,290,5
"DeMarco Murray, Phi RB",RB,282,6
"Le'Veon Bell, Pit RB  SSPD",RB,272,7
"Matt Ryan, Atl QB",QB,268,8
"Tom Brady, NE QB",QB,267,9
"Ryan Tannehill, Mia QB",QB,266,10
"Eli Manning, NYG QB",QB,263,11
"Tony Romo, Dal QB  P",QB,258,12
"Philip Rivers, SD QB  P",QB,254,13
"Marshawn Lynch, Sea RB",RB,253,14
"Antonio Brown, Pit WR",WR,251,15
"Joe Flacco, Bal QB",QB,249,16
"Jay Cutler, Chi QB",QB,244,17
"Matthew Stafford, Det QB",QB,237,18
"Cam Newton, Car QB",QB,237,19
"Colin Kaepernick, SF QB",QB,234,20
"Matt Forte, Chi RB",RB,231,21
"Arian Foster, Hou RB  P",RB,223,22
"Demaryius Thomas, Den WR",WR,223,23
"Jordy Nelson, GB WR  P",WR,221,24
"Dez Bryant, Dal WR  P",WR,221,25
"Eddie Lacy, GB RB",RB,216,26
"Andy Dalton, Cin QB",QB,210,27
"Alex Smith, KC QB",QB,205,28
"Jamaal Charles, KC RB",RB,197,29
"Odell Beckham Jr., NYG WR  P",WR,197,30
"Emmanuel Sanders, Den WR",WR,192,31
"Randall Cobb, GB WR",WR,191,32
"Justin Forsett, Bal RB",RB,189,33
"Julio Jones, Atl WR",WR,183,34
"Jeremy Maclin, KC WR",WR,182,35
"Derek Carr, Oak QB",QB,178,36
"Rob Gronkowski, NE TE",TE,178,37
"T.Y. Hilton, Ind WR",WR,172,38
"Kyle Orton, Buf QB",QB,171,39
"Ryan Fitzpatrick, NYJ QB  Q",QB,171,40
"Lamar Miller, Mia RB",RB,171,41
"Jeremy Hill, Cin RB",RB,171,42
Bills D/ST D/ST,D,170,43
"Teddy Bridgewater, Min QB",QB,169,44
"Mike Evans, TB WR",WR,168,45
"Stephen Gostkowski, NE K",K,168,46
"C.J. Anderson, Den RB",RB,167,47
"Alshon Jeffery, Chi WR",WR,167,48
"Alfred Morris, Wsh RB",RB,159,49
"LeSean McCoy, Buf RB",RB,158,50
"Cody Parkey, Phi K",K,158,51
"Blake Bortles, Jac QB",QB,155,52
"Joique Bell, Det RB  Q",RB,154,53
"Mark Ingram, NO RB",RB,154,54
Eagles D/ST D/ST,D,153,55
"Adam Vinatieri, Ind K",K,152,56
"Golden Tate, Det WR",WR,151,57
Seahawks D/ST D/ST,D,150,58
"Brian Hoyer, Hou QB",QB,149,59
"Calvin Johnson, Det WR  P",WR,149,60
"Antonio Gates, SD TE",TE,148,61
"Dan Carpenter, Buf K",K,148,62
Texans D/ST D/ST,D,147,63
"DeAndre Hopkins, Hou WR  P",WR,146,64
"Matt Bryant, Atl K",K,146,65
"Dan Bailey, Dal K",K,145,66
"DeSean Jackson, Wsh WR",WR,144,67
"Kelvin Benjamin, Car WR",WR,144,68
"Shaun Suisham, Pit K",K,141,69
"Mason Crosby, GB K",K,141,70
"Steven Hauschka, Sea K",K,141,71
"Randy Bullock, Hou K",K,140,72
"Geno Smith, NYJ QB",QB,139,73
"Matt Asiata, Min RB",RB,139,74
"Mike Wallace, Min WR",WR,137,75
"Torrey Smith, SF WR",WR,137,76
"Jimmy Graham, Sea TE  P",TE,137,77
Lions D/ST D/ST,D,136,78
"Justin Tucker, Bal K",K,136,79
"Frank Gore, Ind RB",RB,135,80
"Steve Smith Sr., Bal WR",WR,133,81
"Mark Sanchez, Phi QB",QB,132,82
"Giovani Bernard, Cin RB",RB,132,83
"A.J. Green, Cin WR  P",WR,132,84
"Caleb Sturgis, Mia K",K,132,85
"Greg Olsen, Car TE",TE,131,86
Patriots D/ST D/ST,D,131,87
Ravens D/ST D/ST,D,131,88
"Anquan Boldin, SF WR",WR,130,89
"Brandon LaFell, NE WR",WR,130,90
"Roddy White, Atl WR",WR,127,91
"Julian Edelman, NE WR",WR,127,92
"Jordan Matthews, Phi WR",WR,127,93
"Nick Folk, NYJ K",K,127,94
"Josh Brown, NYG K",K,126,95
"Graham Gano, Car K",K,126,96
"Chris Ivory, NYJ RB",RB,124,97
"Sammy Watkins, Buf WR  P",WR,124,98
"Chandler Catanzaro, Ari K",K,124,99
"Martellus Bennett, Chi TE",TE,123,100
Packers D/ST D/ST,D,123,101
Rams D/ST D/ST,D,123,102
"Andre Ellington, Ari RB  P",RB,122,103
49ers D/ST D/ST,D,122,104
"Eric Decker, NYJ WR",WR,120,105
Broncos D/ST D/ST,D,120,106
"Mike Nugent, Cin K",K,120,107
"Phil Dawson, SF K",K,119,108
"Josh McCown, Cle QB",QB,118,109
"Coby Fleener, Ind TE",TE,118,110
"Cairo Santos, KC K",K,117,111
"Malcom Floyd, SD WR",WR,116,112
"Julius Thomas, Jac TE",TE,116,113
"Andre Williams, NYG RB",RB,115,114
"Blair Walsh, Min K",K,115,115
Vikings D/ST D/ST,D,114,116
Cardinals D/ST D/ST,D,114,117
"Nick Foles, StL QB  P",QB,113,118
"Brandon Marshall, NYJ WR  P",WR,113,119
"Marques Colston, NO WR",WR,113,120
"Eddie Royal, Chi WR",WR,113,121
"Mohamed Sanu, Cin WR",WR,113,122
Dolphins D/ST D/ST,D,113,123
"Nick Novak, SD K",K,112,124
"Greg Zuerlein, StL K",K,112,125
"Steven Jackson, Atl RB",RB,111,126
"Tre Mason, StL RB",RB,111,127
"Michael Floyd, Ari WR",WR,111,128
"Fred Jackson, Buf RB  P",RB,110,129
"Jonathan Stewart, Car RB",RB,110,130
"Ahmad Bradshaw, Ind RB  Q",RB,108,131
"Travis Kelce, KC TE",TE,108,132
"Darren Sproles, Phi RB",RB,107,133
"Kai Forbath, Wsh K",K,107,134
Chiefs D/ST D/ST,D,106,135
"Delanie Walker, Ten TE",TE,105,136
Steelers D/ST D/ST,D,105,137
"Shayne Graham, NO K",K,105,138
"Austin Davis, StL QB",QB,104,139
"Vincent Jackson, TB WR",WR,104,140
"Kendall Wright, Ten WR",WR,104,141
"Kenny Stills, Mia WR",WR,104,142
Browns D/ST D/ST,D,104,143
Colts D/ST D/ST,D,104,144
"Isaiah Crowell, Cle RB",RB,103,145
"Greg Jennings, Min WR  P",WR,103,146
"Rueben Randle, NYG WR",WR,103,147
"Terrance Williams, Dal WR",WR,103,148
"Patrick Murray, TB K",K,103,149
Panthers D/ST D/ST,D,102,150
"Shane Vereen, NYG RB",RB,101,151
"Rashad Jennings, NYG RB",RB,100,152
"Martavis Bryant, Pit WR",WR,100,153
"Branden Oliver, SD RB",RB,98,154
"Andre Johnson, Ind WR",WR,98,155
Cowboys D/ST D/ST,D,97,156
"Sebastian Janikowski, Oak K",K,97,157
"Allen Hurns, Jac WR",WR,96,158
"Knile Davis, KC RB",RB,95,159
"Terrance West, Cle RB",RB,94,160
"James Jones, Oak WR",WR,94,161
"Doug Baldwin, Sea WR",WR,94,162
"John Brown, Ari WR",WR,94,163
"Billy Cundiff*, Cle K  O",K,94,164
"Jason Witten, Dal TE",TE,93,165
"Robert Woods, Buf WR",WR,92,166
"Keenan Allen, SD WR",WR,91,167
"Matt Prater, Det K",K,91,168
"Jarvis Landry, Mia WR",WR,90,169
"Josh Scobee, Jac K",K,90,170
"Ryan Succop, Ten K",K,90,171
"Michael Crabtree, SF WR",WR,87,172
"Heath Miller, Pit TE",TE,87,173
Jaguars D/ST D/ST,D,85,174
"Larry Donnell, NYG TE  P",TE,84,175
"Denard Robinson, Jac RB  P",RB,83,176
Chargers D/ST D/ST,D,83,177
"Chris Johnson, NYJ RB  P",RB,82,178
"Dwayne Allen, Ind TE",TE,82,179
"Trent Richardson, Oak RB",RB,81,180
Giants D/ST D/ST,D,80,181
Bengals D/ST D/ST,D,79,182
"Zach Ertz, Phi TE",TE,78,183
"LeGarrette Blount, NE RB  SSPD",RB,77,184
"Roy Helu, Oak RB",RB,75,185
"Jared Cook, StL TE",TE,75,186
Buccaneers D/ST D/ST,D,75,187
Bears D/ST D/ST,D,74,188
"Ronnie Hillman, Den RB",RB,73,189
"Alfred Blue, Hou RB",RB,73,190
"Charles Clay, Buf TE",TE,73,191
Jets D/ST D/ST,D,72,192
"Darren McFadden, Dal RB",RB,71,193
"Bobby Rainey, TB RB",RB,71,194
"Owen Daniels, Den TE",TE,70,195
"Jermaine Gresham, Cin TE  Q",TE,69,196
"Mychal Rivera, Oak TE",TE,69,197
"Pierre Thomas, NO RB",RB,68,198
"Jonas Gray, NE RB",RB,68,199
"Benjamin Cunningham, StL RB",RB,67,200
"Brandon McManus, Den K",K,66,201
"Bishop Sankey, Ten RB",RB,64,202
"Connor Barth, Den K",K,64,203
"Scott Chandler, NE TE",TE,62,204
"Ben Tate, Pit RB",RB,61,205
"Latavius Murray, Oak RB",RB,61,206
Falcons D/ST D/ST,D,60,207
"Tim Wright, NE TE",TE,59,208
"Robbie Gould, Chi K",K,55,209
Titans D/ST D/ST,D,52,210
"Jordan Cameron, Mia TE",TE,51,211
"Lance Kendricks, StL TE",TE,50,212
"Luke Willson, Sea TE",TE,50,213
Redskins D/ST D/ST,D,48,214
"Niles Paul, Wsh TE",TE,45,215
"Josh Hill, NO TE",TE,44,216
"Andrew Quarless, GB TE",TE,43,217
"Anthony Fasano, Ten TE",TE,42,218
"Jordan Reed, Wsh TE",TE,41,219
"Jace Amaro, NYJ TE",TE,41,220
"Jeff Cumberland, NYJ TE",TE,40,221
"Daniel Fells, NYG TE",TE,37,222
"John Carlson, Ari TE",TE,36,223
"Dion Sims, Mia TE",TE,35,224
"Brent Celek, Phi TE",TE,32,225
"Clay Harbor, Jac TE",TE,32,226
"Kyle Rudolph, Min TE",TE,31,227
"Gavin Escobar, Dal TE",TE,31,228
"Richard Rodgers, GB TE",TE,31,229
"Vernon Davis, SF TE",TE,30,230
"Marcedes Lewis, Jac TE",TE,30,231
"Chase Ford, Min TE",TE,28,232
"Levine Toilolo, Atl TE",TE,28,233
"Jay Feely, Chi K",K,14,234
"Garrett Hartley, Cle K",K,12,235
"Nate Freese, FA K",K,11,236
"Alex Henery, FA K",K,6,237
