name,position,points,
"Aaron Rodgers, GB QB",QB,342,1
"Andrew Luck, Ind QB",QB,336,2
"Russell Wilson, Sea QB",QB,312,3
"Peyton Manning, Den QB",QB,307,4
"Ben Roethlisberger, Pit QB",QB,295,5
"Drew Brees, NO QB",QB,290,6
"DeMarco Murray, Phi RB",RB,282,7
"Le'Veon Bell, Pit RB  SSPD",RB,272,8
"Matt Ryan, Atl QB",QB,268,9
"Tom Brady, NE QB",QB,267,10
"Ryan Tannehill, Mia QB",QB,266,11
"Eli Manning, NYG QB",QB,263,12
"Tony Romo, Dal QB",QB,258,13
"Philip Rivers, SD QB  P",QB,254,14
"Marshawn Lynch, Sea RB",RB,253,15
"Antonio Brown, Pit WR",WR,251,16
"Joe Flacco, Bal QB",QB,249,17
"Jay Cutler, Chi QB",QB,244,18
"Matthew Stafford, Det QB",QB,237,19
"Cam Newton, Car QB",QB,237,20
"Colin Kaepernick, SF QB",QB,234,21
"Matt Forte, Chi RB",RB,231,22
"Demaryius Thomas, Den WR",WR,223,24
"Dez Bryant, Dal WR  P",WR,221,26
"Eddie Lacy, GB RB",RB,216,27
"Andy Dalton, Cin QB  P",QB,210,28
"Alex Smith, KC QB",QB,205,29
"Jamaal Charles, KC RB",RB,197,30
"Odell Beckham Jr., NYG WR",WR,197,31
"Emmanuel Sanders, Den WR  P",WR,192,32
"Randall Cobb, GB WR  Q",WR,191,33
"Justin Forsett, Bal RB",RB,189,34
"Julio Jones, Atl WR",WR,183,35
"Jeremy Maclin, KC WR",WR,182,36
"Derek Carr, Oak QB",QB,178,37
"Rob Gronkowski, NE TE",TE,178,38
"T.Y. Hilton, Ind WR  Q",WR,172,39
"Kyle Orton, Buf QB",QB,171,40
"Ryan Fitzpatrick, NYJ QB",QB,171,41
"Lamar Miller, Mia RB",RB,171,42
"Jeremy Hill, Cin RB",RB,171,43
Bills D/ST D/ST,D,170,44
"Teddy Bridgewater, Min QB",QB,169,45
"Mike Evans, TB WR  Q",WR,168,46
"Stephen Gostkowski, NE K",K,168,47
"C.J. Anderson, Den RB",RB,167,48
"Alshon Jeffery, Chi WR  Q",WR,167,49
"Alfred Morris, Wsh RB",RB,159,50
"LeSean McCoy, Buf RB  Q",RB,158,51
"Cody Parkey, Phi K  P",K,158,52
"Blake Bortles, Jac QB",QB,155,53
"Joique Bell, Det RB  Q",RB,154,54
"Mark Ingram, NO RB",RB,154,55
Eagles D/ST D/ST,D,153,56
"Adam Vinatieri, Ind K",K,152,57
"Golden Tate, Det WR",WR,151,58
Seahawks D/ST D/ST,D,150,59
"Brian Hoyer, Hou QB",QB,149,60
"Calvin Johnson, Det WR",WR,149,61
"Antonio Gates, SD TE  SSPD",TE,148,62
"Dan Carpenter, Buf K",K,148,63
Texans D/ST D/ST,D,147,64
"DeAndre Hopkins, Hou WR",WR,146,65
"Matt Bryant, Atl K",K,146,66
"Dan Bailey, Dal K",K,145,67
"DeSean Jackson, Wsh WR  P",WR,144,68
"Mason Crosby, GB K",K,141,71
"Steven Hauschka, Sea K",K,141,72
"Randy Bullock, Hou K",K,140,73
"Geno Smith*, NYJ QB  O",QB,139,74
"Matt Asiata, Min RB",RB,139,75
"Mike Wallace, Min WR",WR,137,76
"Torrey Smith, SF WR  P",WR,137,77
"Jimmy Graham, Sea TE",TE,137,78
Lions D/ST D/ST,D,136,79
"Justin Tucker, Bal K",K,136,80
"Frank Gore, Ind RB",RB,135,81
"Steve Smith Sr., Bal WR",WR,133,82
"Mark Sanchez, Phi QB",QB,132,83
"Giovani Bernard, Cin RB",RB,132,84
"A.J. Green, Cin WR",WR,132,85
"Caleb Sturgis, Mia K",K,132,86
"Greg Olsen, Car TE",TE,131,87
Patriots D/ST D/ST,D,131,88
Ravens D/ST D/ST,D,131,89
"Anquan Boldin, SF WR",WR,130,90
"Brandon LaFell*, NE WR  O",WR,130,91
"Roddy White, Atl WR  Q",WR,127,92
"Julian Edelman, NE WR  P",WR,127,93
"Jordan Matthews, Phi WR",WR,127,94
"Nick Folk, NYJ K",K,127,95
"Josh Brown, NYG K  Q",K,126,96
"Graham Gano, Car K",K,126,97
"Chris Ivory, NYJ RB",RB,124,98
"Sammy Watkins, Buf WR",WR,124,99
"Chandler Catanzaro, Ari K",K,124,100
"Martellus Bennett, Chi TE",TE,123,101
Packers D/ST D/ST,D,123,102
Rams D/ST D/ST,D,123,103
"Andre Ellington, Ari RB",RB,122,104
49ers D/ST D/ST,D,122,105
"Eric Decker, NYJ WR",WR,120,106
Broncos D/ST D/ST,D,120,107
"Mike Nugent, Cin K",K,120,108
"Phil Dawson, SF K",K,119,109
"Josh McCown, Cle QB",QB,118,110
"Coby Fleener, Ind TE",TE,118,111
"Cairo Santos, KC K",K,117,112
"Malcom Floyd, SD WR",WR,116,113
"Julius Thomas*, Jac TE  O",TE,116,114
"Andre Williams, NYG RB",RB,115,115
"Blair Walsh, Min K",K,115,116
Vikings D/ST D/ST,D,114,117
Cardinals D/ST D/ST,D,114,118
"Nick Foles, StL QB",QB,113,119
"Brandon Marshall, NYJ WR",WR,113,120
"Marques Colston, NO WR",WR,113,121
"Eddie Royal, Chi WR  P",WR,113,122
"Mohamed Sanu, Cin WR",WR,113,123
Dolphins D/ST D/ST,D,113,124
"Nick Novak, SD K",K,112,125
"Greg Zuerlein, StL K",K,112,126
"Steven Jackson, Atl RB",RB,111,127
"Tre Mason, StL RB  Q",RB,111,128
"Michael Floyd, Ari WR  Q",WR,111,129
